nbdates	date	aot_440_daily	pm	angstrom440_870	angstrom440_675
22	2007-08-29	0.0954007273	8.720000	0.3308631364	0.3405299091
21	2007-08-30	0.1593826190	27.630000	0.2389166667	0.2391376667
25	2007-09-02	0.1699067600	15.050000	0.3137945600	0.3372791600
49	2007-09-03	0.0871273673	4.430000	0.5216589796	0.5485172041
28	2007-09-04	0.0793055000	24.920000	0.4852811071	0.4807794643
27	2007-09-05	0.1008415926	13.650000	0.3963928519	0.4139142963
44	2007-09-06	0.1411082727	9.580000	0.3441727045	0.3793462955
35	2007-09-07	0.0798027429	3.470000	0.5082043429	0.5415930000
17	2007-09-10	0.2841559412	28.020000	0.3312235882	0.3486441765
16	2007-09-11	0.3701354375	42.110000	0.2694113750	0.2865480625
24	2007-09-13	0.1389621667	18.360000	0.3591391667	0.3775762083
27	2007-09-17	0.1004318889	2.410000	0.8515500741	0.8911325185
30	2007-09-18	0.0869039000	33.870000	0.8784883667	0.9112357333
34	2007-09-19	0.1660868529	30.150000	0.2838127941	0.2993416765
14	2007-09-20	0.1326920000	6.710000	0.8103803571	0.8349552143
20	2007-09-21	0.0846293000	4.030000	0.9596334500	0.9632078000
13	2007-09-22	0.0786770000	50.690000	0.8861737692	0.8808045385
14	2007-09-28	0.1308185000	8.700000	0.2675420714	0.2768057143
26	2007-10-03	0.0859459231	8.420000	0.5322183077	0.5516531154
24	2007-10-04	0.0619232500	4.030000	0.5651073750	0.6076456250
15	2007-10-05	0.0560568667	3.510000	0.4225974667	0.4253898667
18	2007-10-06	0.0734775556	2.250000	0.3484779444	0.3716227222
21	2007-10-08	0.0582471905	3.980000	0.9535186667	0.9456047143
21	2007-10-09	0.1149200000	6.930000	0.3799051429	0.4135716190
24	2007-10-16	0.1192062500	8.610000	0.1896314167	0.2231514583
28	2007-10-17	0.0918359286	9.570000	0.2816289643	0.3261908571
15	2007-10-22	0.0608841333	10.140000	0.4370840667	0.4755374000
14	2007-11-03	0.0969866429	1.340000	0.4246557857	0.4805872143
29	2007-11-04	0.1361744483	1.590000	0.5054012069	0.5284279310
30	2007-11-05	0.1064327333	3.930000	0.6467580667	0.6757854000
38	2007-11-06	0.0537093158	3.520000	0.6641930526	0.7079793947
18	2007-11-09	0.0675619444	1.600000	0.4624558889	0.5157755556
17	2007-11-10	0.1196792941	20.660000	0.2939224706	0.3248610588
21	2007-11-20	0.1199316190	10.580000	0.5612149048	0.5652842857
18	2007-11-21	0.0558227222	5.300000	0.5014028889	0.4914177222
33	2007-11-28	0.0653318788	1.630000	0.2664388788	0.3055223333
39	2007-11-29	0.0502837179	1.330000	0.3966548462	0.4569780256
53	2007-11-30	0.0492705660	1.530000	0.8161596226	0.9153531698
38	2007-12-01	0.0524626316	1.510000	0.9217800000	1.0127689474
40	2007-12-02	0.0323313750	1.340000	0.8526190000	0.9336476000
44	2007-12-03	0.0544961364	1.460000	0.3482956818	0.4310161818
29	2007-12-07	0.0743708276	2.110000	0.3919823448	0.4421367241
20	2007-12-08	0.0939958000	1.720000	0.3386662000	0.3702596000
47	2007-12-09	0.0931657872	1.530000	0.4435983830	0.4781843830
23	2007-12-25	0.0553281304	1.730000	0.3777864783	0.3749009565
17	2007-12-29	0.0669487647	1.470000	0.2750497647	0.2916460588
24	2008-01-15	0.0967124583	0.880000	0.2454932500	0.2896515000
13	2008-01-17	0.1034455385	3.660000	0.1175752308	0.1290363077
39	2008-01-26	0.0628684615	1.490000	0.2164225897	0.2338009487
27	2008-01-27	0.0538070000	1.530000	0.2268713333	0.2629361852
19	2008-01-28	0.0487126842	4.730000	0.2834112632	0.3547024211
22	2008-01-30	0.0681076364	10.040000	0.1787250455	0.1898104091
35	2008-02-01	0.0822971714	0.790000	0.6055081714	0.6768104857
35	2008-02-17	0.0430753429	1.260000	0.3364998286	0.3086842857
15	2008-02-18	0.0728962000	0.660000	0.2346486000	0.2528082667
18	2008-02-27	0.0623559444	1.360000	0.1826661111	0.2355016667
26	2008-03-09	0.0708104615	2.600000	0.3721624231	0.4089963462
24	2008-03-10	0.0475837500	0.800000	0.3876337083	0.3870340833
29	2008-03-11	0.0551481379	2.110000	0.4106385862	0.4098986207
36	2008-03-16	0.0679789444	1.430000	0.4570996667	0.5234053889
24	2008-03-17	0.0461422083	1.610000	0.4377802917	0.5204292500
23	2008-03-18	0.0320843913	1.880000	0.6568646957	0.7878736522
34	2008-03-19	0.0461793235	2.360000	0.9218806176	1.0217833529
25	2008-03-25	0.1258975600	1.890000	0.1611786400	0.1947737600
32	2008-04-08	0.0739945938	0.880000	0.3103668750	0.3831348750
12	2008-04-09	0.0879201667	1.720000	0.2568095833	0.3154458333
19	2008-04-16	0.1245926316	1.050000	0.1611437895	0.2088886316
12	2008-04-18	0.1005666667	2.790000	0.1771786667	0.2335407500
13	2008-04-20	0.2419706154	14.190000	0.1642170000	0.1703532308
32	2008-04-21	0.2179146563	21.260000	0.2259789375	0.2441500000
20	2008-04-22	0.1885502500	19.210000	0.1613885500	0.1868146000
40	2008-04-27	0.2342970000	14.230000	0.2316738000	0.2561850500
27	2008-04-28	0.1279287037	2.260000	0.2543520741	0.3074140000
47	2008-04-29	0.2341145957	5.190000	0.2850628511	0.3098574894
39	2008-04-30	0.2178288718	13.310000	0.3172052051	0.3439658718
51	2008-05-01	0.1598116667	12.860000	0.4098454314	0.4538104118
33	2008-05-02	0.1120193636	6.250000	0.2940940606	0.3604291818
36	2008-05-03	0.0664638056	4.170000	0.6287692222	0.7397962500
14	2008-05-04	0.1029003571	21.650000	0.3718037857	0.4523947143
14	2008-05-08	0.6380556429	81.160000	0.0650850000	0.0514247857
17	2008-05-09	0.3447719412	38.480000	0.1133442353	0.1065982353
49	2008-05-11	0.1584854286	6.050000	0.2539728776	0.2886755102
35	2008-05-12	0.1284014857	4.950000	0.3322369143	0.3754380000
46	2008-05-13	0.1088678261	2.070000	0.2670143261	0.3400583261
17	2008-05-14	0.1131941176	5.040000	0.2130941176	0.2692162941
46	2008-05-15	0.1196836957	3.490000	0.2818318043	0.3516603696
38	2008-05-20	0.0836385789	1.450000	0.5227284211	0.6021870789
30	2008-05-21	0.1075334333	1.180000	0.4472791667	0.5319347000
33	2008-05-22	0.1201490606	3.780000	0.3023514242	0.3741940303
42	2008-05-23	0.0987946905	4.420000	0.3799540952	0.4559075952
